#TYPE Selected.OleViewDotNet.Database.COMRuntimeServerEntry
"Identity","Name","ServiceName","ExePath","ExeName","Permissions","HasPermission","IdentityType","ServerType","InstancingType","Classes","ClassCount","PackageId","RuntimeServer","Source","DefaultAccessPermission","DefaultLaunchPermission"
"nt authority\system","EnrollmentServer","DmEnrollmentSvc","","","","False","RunAs","SvchostService","SingleInstance","System.Collections.ObjectModel.ReadOnlyCollection`1[OleViewDotNet.Database.COMRuntimeClassEntry]","5","","True","LocalMachine","O:SYG:SYD:","O:SYG:SYD:"
"","microsoft.windows.immersivecontrolpanel","","C:\Windows\ImmersiveControlPanel\SystemSettings.exe","SystemSettings.exe","O:PSG:BUD:(A;;CCDCSW;;;WD)","True","ActivateAsPackage","NormalExe","SingleInstance","System.Collections.ObjectModel.ReadOnlyCollection`1[OleViewDotNet.Database.COMRuntimeClassEntry]","1","windows.immersivecontrolpanel_6.2.0.0_neutral_neutral_cw5n1h2txyewy","False","LocalMachine","O:SYG:SYD:","O:SYG:SYD:"
"","Microsoft.Windows.MiracastView","","C:\Windows\MiracastView\MiracastView.exe","MiracastView.exe","O:PSG:BUD:(A;;CCDCSW;;;WD)","True","ActivateAsPackage","NormalExe","SingleInstance","System.Collections.ObjectModel.ReadOnlyCollection`1[OleViewDotNet.Database.COMRuntimeClassEntry]","1","Windows.MiracastView_6.3.0.0_neutral_neutral_cw5n1h2txyewy","False","LocalMachine","O:SYG:SYD:","O:SYG:SYD:"
"","Microsoft.Windows.PrintDialog","","C:\Windows\PrintDialog\PrintDialog.exe","PrintDialog.exe","O:PSG:BUD:(A;;CCDCSW;;;WD)","True","ActivateAsPackage","NormalExe","SingleInstance","System.Collections.ObjectModel.ReadOnlyCollection`1[OleViewDotNet.Database.COMRuntimeClassEntry]","1","Windows.PrintDialog_6.2.0.0_neutral_neutral_cw5n1h2txyewy","False","LocalMachine","O:SYG:SYD:","O:SYG:SYD:"
"nt authority\system","ProvisioningServer","DmEnrollmentSvc","","","","False","RunAs","SvchostService","SingleInstance","System.Collections.ObjectModel.ReadOnlyCollection`1[OleViewDotNet.Database.COMRuntimeClassEntry]","2","","True","LocalMachine","O:SYG:SYD:","O:SYG:SYD:"
"nt authority\system","SecureAssessmentPolicies","DmEnrollmentSvc","","","","False","RunAs","SvchostService","SingleInstance","System.Collections.ObjectModel.ReadOnlyCollection`1[OleViewDotNet.Database.COMRuntimeClassEntry]","1","","True","LocalMachine","O:SYG:SYD:","O:SYG:SYD:"
"nt authority\system","SessionManagerServer","DmEnrollmentSvc","","","","False","RunAs","SvchostService","SingleInstance","System.Collections.ObjectModel.ReadOnlyCollection`1[OleViewDotNet.Database.COMRuntimeClassEntry]","1","","True","LocalMachine","O:SYG:SYD:","O:SYG:SYD:"
"","SpeechRuntime","","C:\Windows\SysWOW64\Speech_OneCore\Common\SpeechRuntime.exe","SpeechRuntime.exe","O:PSG:BUD:(A;;CCDCLCSWRP;;;AC)(A;;CCDCLCSWRP;;;WD)S:(ML;;NX;;;LW)","True","ActivateAsActivator","NormalExe","SingleInstance","System.Collections.ObjectModel.ReadOnlyCollection`1[OleViewDotNet.Database.COMRuntimeClassEntry]","0","","True","LocalMachine","O:SYG:SYD:","O:SYG:SYD:"
"nt authority\system","StateRepository","StateRepository","","","O:PSG:BUD:(A;;CCDCLCSWRP;;;AC)(A;;CCDCLCSWRP;;;WD)S:(ML;;NX;;;LW)","True","RunAs","SvchostService","SingleInstance","System.Collections.ObjectModel.ReadOnlyCollection`1[OleViewDotNet.Database.COMRuntimeClassEntry]","73","","True","LocalMachine","O:SYG:SYD:","O:SYG:SYD:"
"nt authority\system","UserManager","UserManager","","","O:PSG:BUD:(A;;CCDCLCSWRP;;;AC)(A;;CCDCLCSWRP;;;WD)S:(ML;;NX;;;LW)","True","RunAs","SvchostService","SingleInstance","System.Collections.ObjectModel.ReadOnlyCollection`1[OleViewDotNet.Database.COMRuntimeClassEntry]","6","","True","LocalMachine","O:SYG:SYD:","O:SYG:SYD:"
"","Windows.Gaming.GameBar.Internal.PresenceWriterServer","","C:\Windows\SysWOW64\GameBarPresenceWriter.exe","GameBarPresenceWriter.exe","","False","ActivateAsActivator","NormalExe","SingleInstance","System.Collections.ObjectModel.ReadOnlyCollection`1[OleViewDotNet.Database.COMRuntimeClassEntry]","1","","True","LocalMachine","O:SYG:SYD:","O:SYG:SYD:"
"","Windows.Media.Capture.Internal.BroadcastDVRServer","","C:\Windows\SysWOW64\bcastdvr.exe","bcastdvr.exe","","False","ActivateAsActivator","NormalExe","SingleInstance","System.Collections.ObjectModel.ReadOnlyCollection`1[OleViewDotNet.Database.COMRuntimeClassEntry]","9","","True","LocalMachine","O:SYG:SYD:","O:SYG:SYD:"
